eventID,opcode,subblock,COMP-4c.avg
1,1011,0,16.16
1,1011,1,26.37
2,1113,0,163392.88
2,1113,1,50305.00
3,1090,0,160773.18
3,1090,1,16973.43
3,1090,2,13864.29
4,1113,0,146.31
5,1148,0,15.28
5,1148,1,15.00
6,1113,0,135.54
6,1113,1,30453.00
6,1113,2,8154.05
7,1090,0,14.00
8,1148,0,14.43
8,1148,1,15.00
9,1090,0,17803.00
9,1090,1,15465.75
10,1113,0,145.77
11,1148,0,14.29
11,1148,1,15.01
12,1113,0,164443.00
12,1113,1,130.98
12,1113,2,22187.00
12,1113,3,9536.04
13,1090,0,14.92
14,1148,0,15.17
14,1148,1,16.05
15,1004,0,45686.44
15,1004,1,48947.93
16,1010,0,14.55
17,1102,0,3073.64
17,1102,1,15.05
17,1102,2,321.24
18,1113,0,3388.00
18,1113,1,282.49
18,1113,2,56.24
19,1102,0,3144.48
19,1102,1,27.67
19,1102,2,318.71
20,1113,0,281.64
21,1113,0,143439.50
21,1113,1,287.01
21,1113,2,24.03
22,1090,0,141606.96
22,1090,1,5278.45
22,1090,2,7355.03
23,1113,0,136.00
24,1148,0,15.00
24,1148,1,14.86
25,1113,0,143749.00
25,1113,1,6644.00
25,1113,2,22187.00
25,1113,3,10606.88
26,1090,0,9899.19
26,1090,1,11328.29
27,1148,0,14.24
27,1148,1,14.77
28,1113,0,130.98
28,1113,1,4310.61
29,1090,0,14.00
30,1148,0,15.00
30,1148,1,15.97
31,1004,0,44405.82
31,1004,1,47536.29
32,1010,0,22.51
33,1102,0,3069.24
33,1102,1,15.04
33,1102,2,324.88
33,1102,3,48500.67
34,1113,0,3388.00
34,1113,1,284.35
34,1113,2,56.32
34,1113,3,49019.48
35,1102,0,3140.35
35,1102,1,27.31
35,1102,2,323.26
35,1102,3,49684.89
36,1113,0,285.38
37,1113,0,287.08
37,1113,1,17.72
38,1090,0,5344.14
38,1090,1,7384.38
39,1148,0,14.80
39,1148,1,14.84
40,1113,0,135.94
40,1113,1,274.00
40,1113,2,251.98
41,1148,0,14.87
41,1148,1,14.29
42,1102,0,442.35
43,1113,0,2568.87
43,1113,1,354.25
43,1113,2,12013.23
44,1090,0,9424.03
44,1090,1,11562.30
45,1148,0,14.27
45,1148,1,14.61
46,1113,0,131.05
46,1113,1,280.74
46,1113,2,239.84
47,1148,0,14.92
47,1148,1,15.89
48,1102,0,15.06
48,1102,1,594.67
48,1102,2,48641.53
49,1113,0,282.23
49,1113,1,56.31
49,1113,2,442.72
50,1102,0,27.29
50,1102,1,326.04
50,1102,2,49597.82
51,1113,0,287.04
51,1113,1,20.78
52,1004,0,6179.00
52,1004,1,5920.84
53,1113,0,3147.50
54,1090,0,2900.58
54,1090,1,4671.11
54,1090,2,7325.96
55,1113,0,135.94
56,1148,0,14.83
56,1148,1,14.38
57,1113,0,3263.00
57,1113,1,22187.00
57,1113,2,11099.31
58,1090,0,9546.21
58,1090,1,11104.96
59,1148,0,14.22
59,1148,1,14.79
60,1113,0,130.96
60,1113,1,4141.83
61,1090,0,14.00
62,1148,0,15.00
62,1148,1,15.95
63,1004,0,12075.43
63,1004,1,45679.44
63,1004,2,48945.70
64,1090,0,52.02
65,1148,0,16.14
66,1113,0,50.88
66,1113,1,17.00
67,1090,0,16.00
67,1090,1,16.75
68,1148,0,16.00
69,1113,0,50.00
69,1113,1,17.00
70,1113,0,17.00
70,1113,1,17.00
70,1113,2,17.00
71,1004,0,23.74
71,1004,1,23.89
72,1090,0,102.53
73,1148,0,15.00
74,1113,0,100.00
74,1113,1,18.00
75,1004,0,94.06
75,1004,1,75.60
75,1004,2,77.00
76,1090,0,117.53
77,1148,0,16.00
78,1113,0,110.00
78,1113,1,19.00
79,1004,0,92.27
79,1004,1,73.40
79,1004,2,75.00
80,1045,0,27479.89
